Date,Forecast,Lower Bound,Upper Bound
2024-04-30,3501625.183630462,2836013.312624285,4167237.0546366386
2024-05-31,3743880.3495088974,3049683.01782829,4438077.681189505
2024-06-30,4135559.758284891,3424582.5387635166,4846536.9778062655
2024-07-31,5215667.214630619,4504605.03117013,5926729.398091108
2024-08-31,4122919.905780072,3408523.3262900915,4837316.485270052
2024-09-30,4065197.093960892,3349360.2783827083,4781033.909539076
2024-10-31,3076859.529705714,2358915.867306639,3794803.192104789
2024-11-30,1857860.0124026234,1138102.3140896761,2577617.7107155705
2024-12-31,1810149.793862531,1088468.9110274902,2531830.6766975718
2025-01-31,1304559.4048119145,581006.9636403457,2028111.8459834834
2025-02-28,1676484.2806474117,951046.3187996006,2401922.242495223
2025-03-31,2937770.3074362446,2210459.3428793326,3665081.2719931565
